source_phenotype,target_phenotype,statistic,observed_value,permuted_average,p_value,effect
TAM,TAM,mean,25.340921984623332,28.533983619618454,0.007,attraction
TAM,TAM,median,18.909519518105423,23.27950256821101,0.006,attraction
TAM,TAM,p10,8.310464278245151,9.939909185872605,0.015,attraction
TAM,TAM,p90,52.78881923744029,53.320185760503804,0.417,attraction
TAM,Endothelial cells,mean,48.99053460446778,28.509171672474707,0.0,avoidance
TAM,Endothelial cells,median,37.04593954411509,23.470242617596313,0.0,avoidance
TAM,Endothelial cells,p10,16.060083249318488,9.953415914429808,0.0,avoidance
TAM,Endothelial cells,p90,99.06293039608849,53.21274806134294,0.0,avoidance
TAM,Ki67 proliferating cells,mean,60.898844881341965,28.28072845011833,0.0,avoidance
TAM,Ki67 proliferating cells,median,41.53769372509815,23.26548915662916,0.0,avoidance
TAM,Ki67 proliferating cells,p10,21.86318255581943,10.17892629077451,0.0,avoidance
TAM,Ki67 proliferating cells,p90,122.64937150988096,51.75409870576198,0.0,avoidance
TAM,T,mean,47.37939579394923,28.47817073197899,0.0,avoidance
TAM,T,median,29.43229518742999,23.596342257023892,0.104,avoidance
TAM,T,p10,11.264124351496658,10.434771508790552,0.234,avoidance
TAM,T,p90,97.96217838000072,51.878271047065425,0.0,avoidance
TAM,Helper T,mean,62.17691285264361,28.410778177436345,0.0,avoidance
TAM,Helper T,median,41.18368248084337,23.804758065138415,0.005,avoidance
TAM,Helper T,p10,23.751445421574623,11.10051589841871,0.002,avoidance
TAM,Helper T,p90,151.88066412835883,49.91004948479838,0.0,avoidance
TAM,Cytotoxic T,mean,44.99140956151249,28.904773619136634,0.012,avoidance
TAM,Cytotoxic T,median,35.018423722378024,23.85231403204264,0.032,avoidance
TAM,Cytotoxic T,p10,18.69429541985267,11.35777875169128,0.019,avoidance
TAM,Cytotoxic T,p90,65.22733399779487,50.68637443044989,0.127,avoidance
Endothelial cells,TAM,mean,44.219187140212654,28.583349661238827,0.0,avoidance
Endothelial cells,TAM,median,38.244934081616535,23.462780587254194,0.0,avoidance
Endothelial cells,TAM,p10,16.316436457656106,9.96282771797379,0.0,avoidance
Endothelial cells,TAM,p90,75.54102039644229,53.41092985259305,0.0,avoidance
Endothelial cells,Endothelial cells,mean,19.582356902680868,28.533115710183704,0.0,attraction
Endothelial cells,Endothelial cells,median,11.597967932453614,23.31592807145966,0.0,attraction
Endothelial cells,Endothelial cells,p10,7.665507158695081,9.898462099963261,0.0,attraction
Endothelial cells,Endothelial cells,p90,48.94006538614322,53.29540373626298,0.109,attraction
Endothelial cells,Ki67 proliferating cells,mean,53.77921943239786,28.556704543203175,0.0,avoidance
Endothelial cells,Ki67 proliferating cells,median,53.88970217026606,23.728861993574494,0.0,avoidance
