source_phenotype,target_phenotype,statistic,observed_value,permuted_average,p_value,effect
Ki67 proliferating cells,Ki67 proliferating cells,mean,41.460693764586225,46.66992222651217,0.048,attraction
Ki67 proliferating cells,Ki67 proliferating cells,median,34.420602330698614,41.676897347859224,0.06,attraction
Ki67 proliferating cells,Ki67 proliferating cells,p10,10.691218356790785,13.28847823458062,0.126,attraction
Ki67 proliferating cells,Ki67 proliferating cells,p90,75.05075091186661,87.39888577095736,0.072,attraction
Ki67 proliferating cells,Endothelial cells,mean,61.905894695027335,46.23415468352019,0.001,avoidance
Ki67 proliferating cells,Endothelial cells,median,54.696968562826996,41.676252097506456,0.0,avoidance
Ki67 proliferating cells,Endothelial cells,p10,19.399474864146534,12.954681856673973,0.002,avoidance
Ki67 proliferating cells,Endothelial cells,p90,117.05557908268048,87.14156009923353,0.014,avoidance
Ki67 proliferating cells,T,mean,60.189168525763264,45.978272351690364,0.024,avoidance
Ki67 proliferating cells,T,median,51.20244134804529,41.06619886110612,0.071,avoidance
Ki67 proliferating cells,T,p10,17.447911869571954,14.424397532916627,0.174,avoidance
Ki67 proliferating cells,T,p90,119.78807710694697,83.62030116077607,0.025,avoidance
Ki67 proliferating cells,Helper T,mean,57.23505898912516,46.251535001337444,0.128,avoidance
Ki67 proliferating cells,Helper T,median,50.76662289339359,41.44724492227741,0.195,avoidance
Ki67 proliferating cells,Helper T,p10,20.723416706711472,16.49330471649774,0.195,avoidance
Ki67 proliferating cells,Helper T,p90,100.3225298724074,79.67085729780581,0.149,avoidance
Endothelial cells,Ki67 proliferating cells,mean,63.22211394334329,47.91202732453213,0.003,avoidance
Endothelial cells,Ki67 proliferating cells,median,57.19203558504154,43.02545590752783,0.002,avoidance
Endothelial cells,Ki67 proliferating cells,p10,20.011553288081075,13.275124498810575,0.003,avoidance
Endothelial cells,Ki67 proliferating cells,p90,115.07261824293252,90.44118807431892,0.024,avoidance
Endothelial cells,Endothelial cells,mean,39.81345059716584,47.599972397811975,0.006,attraction
Endothelial cells,Endothelial cells,median,19.572483385637195,42.3369557074456,0.0,attraction
Endothelial cells,Endothelial cells,p10,9.968951800464264,13.373485568637635,0.064,attraction
Endothelial cells,Endothelial cells,p90,94.10598454742146,89.91190700879197,0.314,avoidance
Endothelial cells,T,mean,43.36966483156745,47.713769055153115,0.272,attraction
Endothelial cells,T,median,38.04326484412194,42.640562640960916,0.218,attraction
Endothelial cells,T,p10,16.462451435343073,14.698396524069107,0.276,avoidance
Endothelial cells,T,p90,75.2818566311684,86.6249889074236,0.262,attraction
Endothelial cells,Helper T,mean,49.62667052791851,47.94648820899029,0.399,avoidance
Endothelial cells,Helper T,median,40.99134054895109,43.05253688417483,0.426,attraction
Endothelial cells,Helper T,p10,30.98644865098256,17.076484368434386,0.046,avoidance
Endothelial cells,Helper T,p90,83.58767851782865,82.61290744089172,0.412,avoidance
T,Ki67 proliferating cells,mean,103.16285494809024,96.59148630730118,0.25,avoidance
T,Ki67 proliferating cells,median,94.86940113494819,83.75647592779704,0.147,avoidance
T,Ki67 proliferating cells,p10,41.200661696638434,26.635520857123193,0.021,avoidance
T,Ki67 proliferating cells,p90,179.73603745440536,186.03318759375927,0.498,attraction
T,Endothelial cells,mean,100.68875690008444,96.41036667186249,0.317,avoidance
T,Endothelial cells,median,84.02021909469444,83.83381917466842,0.462,avoidance
T,Endothelial cells,p10,30.484165889667086,26.88792071172887,0.238,avoidance
T,Endothelial cells,p90,220.60943787278808,185.19796890769783,0.14,avoidance
T,T,mean,81.111526377622,100.47000692320584,0.086,attraction
T,T,median,55.4044222061745,86.19050828207314,0.043,attraction
T,T,p10,8.6815897161747,34.432814087497704,0.002,attraction
T,T,p90,223.85786003243908,182.55419699954115,0.107,avoidance
T,Helper T,mean,84.70729266022326,95.25887084405547,0.33,attraction
T,Helper T,median,66.54539803773028,84.30066689867645,0.235,attraction
T,Helper T,p10,42.99418565341145,34.71896532125177,0.29,avoidance
T,Helper T,p90,153.48517843752902,166.282396023909,0.442,attraction
Helper T,Ki67 proliferating cells,mean,138.49286272530222,199.5307901544404,0.338,attraction
Helper T,Ki67 proliferating cells,median,123.56890130372409,134.5676833420811,0.377,attraction
Helper T,Ki67 proliferating cells,p10,50.35440054899936,43.168800460452765,0.2,avoidance
Helper T,Ki67 proliferating cells,p90,261.5014648814157,452.5183036383354,0.413,attraction
Helper T,Endothelial cells,mean,150.71943677983973,201.04666893487806,0.597,attraction
Helper T,Endothelial cells,median,142.3810397323233,133.32450152436994,0.276,avoidance
Helper T,Endothelial cells,p10,40.591067757480886,43.2814952584152,0.364,attraction
Helper T,Endothelial cells,p90,278.9878895666876,450.4431673663887,0.574,attraction
Helper T,T,mean,112.55911441036314,198.1448557058607,0.055,attraction
Helper T,T,median,67.24879181070918,132.73747654418565,0.004,attraction
Helper T,T,p10,47.719985055129406,46.79481439814095,0.443,avoidance
Helper T,T,p90,261.54320512351387,436.4575773548255,0.497,attraction
Helper T,Helper T,mean,710.9288641498929,223.06268415617095,0.02,avoidance
Helper T,Helper T,median,119.6191456247704,140.16292081442458,0.344,attraction
Helper T,Helper T,p10,96.95617566715352,53.740009947413505,0.105,avoidance
Helper T,Helper T,p90,340.1318126844355,284.8981098779044,0.178,avoidance
