source_phenotype,target_phenotype,statistic,observed_value,permuted_average,p_value,effect
Endothelial cells,Endothelial cells,mean,36.05097168445231,49.95739301785464,0.001,attraction
Endothelial cells,Endothelial cells,median,14.837062404738795,42.56624979127751,0.0,attraction
Endothelial cells,Endothelial cells,p10,7.833900688674261,12.413013583595365,0.001,attraction
Endothelial cells,Endothelial cells,p90,104.94038780014913,98.64558600606549,0.258,avoidance
Endothelial cells,CD68 mac,mean,67.39756588913657,49.69237986861131,0.004,avoidance
Endothelial cells,CD68 mac,median,61.5223536610881,42.58790105966522,0.002,avoidance
Endothelial cells,CD68 mac,p10,30.39808955376676,12.271747863050239,0.0,avoidance
Endothelial cells,CD68 mac,p90,115.53214527745591,97.78517519384359,0.097,avoidance
Endothelial cells,Ki67 proliferating cells,mean,74.34184156709836,49.70289702807125,0.002,avoidance
Endothelial cells,Ki67 proliferating cells,median,74.02013239653137,42.37865983326951,0.0,avoidance
Endothelial cells,Ki67 proliferating cells,p10,36.74423861584155,12.490049040550856,0.0,avoidance
Endothelial cells,Ki67 proliferating cells,p90,117.04568361579159,97.33917376252398,0.098,avoidance
Endothelial cells,TAM,mean,61.26451889680117,50.05657021656871,0.135,avoidance
Endothelial cells,TAM,median,62.22819294514611,43.46154423936829,0.053,avoidance
Endothelial cells,TAM,p10,24.389269522589483,15.713448494281389,0.109,avoidance
Endothelial cells,TAM,p90,87.07466745847779,90.58002667116453,0.464,attraction
Endothelial cells,T,mean,58.660167336537846,50.07309415681599,0.193,avoidance
Endothelial cells,T,median,55.173889730813926,43.33908404228339,0.141,avoidance
Endothelial cells,T,p10,23.826897254091943,15.672846241705901,0.107,avoidance
Endothelial cells,T,p90,102.30404575698753,90.7843084971981,0.291,avoidance
CD68 mac,Endothelial cells,mean,77.87450806142873,59.469979442738826,0.007,avoidance
CD68 mac,Endothelial cells,median,64.15800971134468,50.976832632564715,0.014,avoidance
CD68 mac,Endothelial cells,p10,24.33910824233785,14.087199843557151,0.004,avoidance
CD68 mac,Endothelial cells,p90,144.78996064964366,115.895215249782,0.067,avoidance
CD68 mac,CD68 mac,mean,55.92687225502158,60.401158022835645,0.221,attraction
CD68 mac,CD68 mac,median,49.91963541533534,51.298683071989394,0.405,attraction
CD68 mac,CD68 mac,p10,8.297590011562809,15.161584578356113,0.018,attraction
CD68 mac,CD68 mac,p90,100.11185094484543,115.13100649868129,0.108,attraction
CD68 mac,Ki67 proliferating cells,mean,69.64534610880585,59.53408400917368,0.102,avoidance
CD68 mac,Ki67 proliferating cells,median,52.89357238833463,51.121083731517764,0.401,avoidance
CD68 mac,Ki67 proliferating cells,p10,16.722894713881814,14.801304041496223,0.223,avoidance
CD68 mac,Ki67 proliferating cells,p90,135.7252393968001,114.71857154490496,0.128,avoidance
CD68 mac,TAM,mean,59.86074886211142,59.79563993148948,0.456,avoidance
CD68 mac,TAM,median,56.74568652056908,52.117396772415944,0.351,avoidance
CD68 mac,TAM,p10,22.85864507332279,18.78241751671845,0.252,avoidance
CD68 mac,TAM,p90,114.5333133934196,108.34884742511763,0.324,avoidance
CD68 mac,T,mean,63.45305052630098,59.71944136493772,0.354,avoidance
CD68 mac,T,median,45.6243087087353,52.32553425328141,0.345,attraction
CD68 mac,T,p10,13.234202922442268,18.896066551255377,0.311,attraction
CD68 mac,T,p90,127.65130716824028,108.04438973250836,0.204,avoidance
Ki67 proliferating cells,Endothelial cells,mean,77.87319334990173,68.16837534108916,0.11,avoidance
Ki67 proliferating cells,Endothelial cells,median,79.54178038202531,58.58611337625162,0.012,avoidance
Ki67 proliferating cells,Endothelial cells,p10,36.89838633121394,16.186596141078525,0.0,avoidance
Ki67 proliferating cells,Endothelial cells,p90,117.62521377121303,130.81595444087677,0.312,attraction
Ki67 proliferating cells,CD68 mac,mean,65.77418621355861,68.33548289817047,0.415,attraction
Ki67 proliferating cells,CD68 mac,median,61.861538939796894,58.724654748212274,0.312,avoidance
Ki67 proliferating cells,CD68 mac,p10,20.288904481523762,16.748250547412418,0.175,avoidance
Ki67 proliferating cells,CD68 mac,p90,122.16201434924926,130.62588417611948,0.444,attraction
Ki67 proliferating cells,Ki67 proliferating cells,mean,70.353961197547,69.85600004552013,0.473,avoidance
Ki67 proliferating cells,Ki67 proliferating cells,median,54.46475924852698,59.678269140522744,0.348,attraction
Ki67 proliferating cells,Ki67 proliferating cells,p10,10.65575704040143,18.961853325705917,0.07,attraction
Ki67 proliferating cells,Ki67 proliferating cells,p90,152.63135326662126,131.00497297061213,0.123,avoidance
Ki67 proliferating cells,TAM,mean,62.26633660181816,68.32460184664495,0.355,attraction
Ki67 proliferating cells,TAM,median,55.15348466798635,59.76061554243019,0.416,attraction
Ki67 proliferating cells,TAM,p10,28.734209114494682,22.254159515919667,0.249,avoidance
Ki67 proliferating cells,TAM,p90,99.34647245255545,121.30896181494732,0.235,attraction
Ki67 proliferating cells,T,mean,73.69823561951948,68.26528976769819,0.324,avoidance
Ki67 proliferating cells,T,median,70.08394526288595,60.2044660089206,0.24,avoidance
Ki67 proliferating cells,T,p10,18.305113349417724,22.267820262648303,0.458,attraction
Ki67 proliferating cells,T,p90,132.26293739859028,121.46966708237697,0.278,avoidance
TAM,Endothelial cells,mean,158.13496680640108,155.44988278851994,0.16,avoidance
TAM,Endothelial cells,median,166.90185147958883,122.92506680774392,0.034,avoidance
TAM,Endothelial cells,p10,46.907625284243466,38.52757384922932,0.199,avoidance
TAM,Endothelial cells,p90,261.3337734319488,315.78909312657925,0.624,attraction
TAM,CD68 mac,mean,153.4838580360361,155.50554702779203,0.811,attraction
TAM,CD68 mac,median,129.43372821641216,123.09216539513037,0.303,avoidance
TAM,CD68 mac,p10,40.17165195586546,39.16209201301972,0.419,avoidance
TAM,CD68 mac,p90,288.0042563617307,313.72506937842724,0.79,attraction
TAM,Ki67 proliferating cells,mean,151.36541427134367,155.4063967406436,0.759,attraction
TAM,Ki67 proliferating cells,median,140.00032142820243,123.65372564371451,0.191,avoidance
